"file","path","category","format","size_kb","obstype_hint","status","target_table","n_obs","ref_ids","date_added","date_processed","notes"
"Bufo.pdf","pdfs/extant_to_ingest/toadd/Bufo.pdf","extant_pdf","pdf","229","unknown","queued","",NA,"","2026-05-29","",""
"BurrowingOwlSDakota.pdf","pdfs/extant_to_ingest/toadd/BurrowingOwlSDakota.pdf","extant_pdf","pdf","338","pellet","queued","",NA,"","2026-05-29","",""
"CaimansBrazil1999.pdf","pdfs/extant_to_ingest/toadd/CaimansBrazil1999.pdf","extant_pdf","pdf","688","unknown","queued","",NA,"","2026-05-29","",""
"CaimansPeru.pdf","pdfs/extant_to_ingest/toadd/CaimansPeru.pdf","extant_pdf","pdf","329","unknown","queued","",NA,"","2026-05-29","",""
"CameroonTytoBubo.pdf","pdfs/extant_to_ingest/toadd/CameroonTytoBubo.pdf","extant_pdf","pdf","119","pellet","queued","",NA,"","2026-05-29","",""
"Cerdocyon_diet_TEGU.pdf","pdfs/extant_to_ingest/toadd/Cerdocyon_diet_TEGU.pdf","extant_pdf","pdf","658","unknown","queued","",NA,"","2026-05-29","",""
"Competitive_release_in_diets_of_ocelot_L.pdf","pdfs/extant_to_ingest/toadd/Competitive_release_in_diets_of_ocelot_L.pdf","extant_pdf","pdf","173","unknown","queued","",NA,"","2026-05-29","",""
"Consumption_of_an_adult_Puma_yagouaround.pdf","pdfs/extant_to_ingest/toadd/Consumption_of_an_adult_Puma_yagouaround.pdf","extant_pdf","pdf","574","unknown","queued","",NA,"","2026-05-29","",""
"CT_data_digitize.PNG","pdfs/extant_to_ingest/literature/CT_data_digitize.PNG","extant_pdf","png","313","unknown","queued","",NA,"","2026-05-29","",""
"Diet_of_margay_Leopardus_wiedii_and_jagu.pdf","pdfs/extant_to_ingest/toadd/Diet_of_margay_Leopardus_wiedii_and_jagu.pdf","extant_pdf","pdf","218","unknown","queued","",NA,"","2026-05-29","",""
"Diet_of_two_sympatric_felids_Leopardus_g.pdf","pdfs/extant_to_ingest/toadd/Diet_of_two_sympatric_felids_Leopardus_g.pdf","extant_pdf","pdf","274","unknown","queued","",NA,"","2026-05-29","",""
"Diets_of_three_sympatric_Neotropical_sma.pdf","pdfs/extant_to_ingest/toadd/Diets_of_three_sympatric_Neotropical_sma.pdf","extant_pdf","pdf","1640","unknown","queued","",NA,"","2026-05-29","",""
"Dingo1983.pdf","pdfs/extant_to_ingest/toadd/Dingo1983.pdf","extant_pdf","pdf","16043","unknown","queued","",NA,"","2026-05-29","",""
"Dingo1987.pdf","pdfs/extant_to_ingest/toadd/Dingo1987.pdf","extant_pdf","pdf","1568","unknown","queued","",NA,"","2026-05-29","",""
"Dingo1989.pdf","pdfs/extant_to_ingest/toadd/Dingo1989.pdf","extant_pdf","pdf","771","unknown","queued","",NA,"","2026-05-29","",""
"DingoFoxCat.pdf","pdfs/extant_to_ingest/toadd/DingoFoxCat.pdf","extant_pdf","pdf","534","unknown","queued","",NA,"","2026-05-29","",""
"DingoFraserIsland.pdf","pdfs/extant_to_ingest/toadd/DingoFraserIsland.pdf","extant_pdf","pdf","2152","unknown","queued","",NA,"","2026-05-29","",""
"DingoNEAustralia.pdf","pdfs/extant_to_ingest/toadd/DingoNEAustralia.pdf","extant_pdf","pdf","122","unknown","queued","",NA,"","2026-05-29","",""
"DingoSEAustralia.pdf","pdfs/extant_to_ingest/toadd/DingoSEAustralia.pdf","extant_pdf","pdf","423","unknown","queued","",NA,"","2026-05-29","",""
"empircal_histograms.pdf","pdfs/extant_to_ingest/toadd/empircal_histograms.pdf","extant_pdf","pdf","5","unknown","queued","",NA,"","2026-05-29","",""
"ErmineNewBrunswick.pdf","pdfs/extant_to_ingest/toadd/ErmineNewBrunswick.pdf","extant_pdf","pdf","69","unknown","queued","",NA,"","2026-05-29","",""
"ErmineSweden.pdf","pdfs/extant_to_ingest/toadd/ErmineSweden.pdf","extant_pdf","pdf","1855","unknown","queued","",NA,"","2026-05-29","",""
"EuropeanOwls.pdf","pdfs/extant_to_ingest/toadd/EuropeanOwls.pdf","extant_pdf","pdf","3261","pellet","queued","",NA,"","2026-05-29","",""
"EuropeanOwlsENG.pdf","pdfs/extant_to_ingest/toadd/EuropeanOwlsENG.pdf","extant_pdf","pdf","3261","pellet","queued","",NA,"","2026-05-29","",""
"Falcofemoralis_Chihuahua.pdf","pdfs/extant_to_ingest/toadd/Falcofemoralis_Chihuahua.pdf","extant_pdf","pdf","793","unknown","queued","",NA,"","2026-05-29","",""
"Feeding_ecology_of_carnivores_Mammalia_C.pdf","pdfs/extant_to_ingest/toadd/Feeding_ecology_of_carnivores_Mammalia_C.pdf","extant_pdf","pdf","720","unknown","queued","",NA,"","2026-05-29","",""
"Feeding_interactions_in_an_assemblage_of.pdf","pdfs/extant_to_ingest/toadd/Feeding_interactions_in_an_assemblage_of.pdf","extant_pdf","pdf","5314","unknown","queued","",NA,"","2026-05-29","",""
"Feline_predator-prey_relationships_in_a.pdf","pdfs/extant_to_ingest/toadd/Feline_predator-prey_relationships_in_a.pdf","extant_pdf","pdf","484","unknown","queued","",NA,"","2026-05-29","",""
"FeralFerret.pdf","pdfs/extant_to_ingest/toadd/FeralFerret.pdf","extant_pdf","pdf","4546","unknown","queued","",NA,"","2026-05-29","",""
"fig.pdf","pdfs/extant_to_ingest/toadd/fig.pdf","extant_pdf","pdf","7","unknown","queued","",NA,"","2026-05-29","",""
"FisherMaine.pdf","pdfs/extant_to_ingest/toadd/FisherMaine.pdf","extant_pdf","pdf","1385","unknown","queued","",NA,"","2026-05-29","",""
"FisherSierraNevada.pdf","pdfs/extant_to_ingest/toadd/FisherSierraNevada.pdf","extant_pdf","pdf","384","unknown","queued","",NA,"","2026-05-29","",""
"Food_habits_of_ocelots_and_potential_for.pdf","pdfs/extant_to_ingest/toadd/Food_habits_of_ocelots_and_potential_for.pdf","extant_pdf","pdf","232","unknown","queued","",NA,"","2026-05-29","",""
"FossilOwl.pdf","pdfs/extant_to_ingest/toadd/FossilOwl.pdf","extant_pdf","pdf","2122","pellet","queued","",NA,"","2026-05-29","",""
"fourOwls_massesANDnumbers!.pdf","pdfs/extant_to_ingest/toadd/fourOwls_massesANDnumbers!.pdf","extant_pdf","pdf","884","pellet","queued","",NA,"","2026-05-29","",""
"FoxesWisconsin.pdf","pdfs/extant_to_ingest/toadd/FoxesWisconsin.pdf","extant_pdf","pdf","440","unknown","queued","",NA,"","2026-05-29","",""
"Functional Ecology - 2002 - Shine - The influence of sex and body size on food habits of a giant tropical snake  Python.pdf","pdfs/extant_to_ingest/ai_found/Functional Ecology - 2002 - Shine - The influence of sex and body size on food habits of a giant tropical snake  Python.pdf","extant_pdf","pdf","335","unknown","queued","",NA,"","2026-05-29","",""
"GlaucidiumpasserinumSize.pdf","pdfs/extant_to_ingest/toadd/GlaucidiumpasserinumSize.pdf","extant_pdf","pdf","1230","unknown","queued","",NA,"","2026-05-29","",""
"GoldenEagleNA.pdf","pdfs/extant_to_ingest/toadd/GoldenEagleNA.pdf","extant_pdf","pdf","504","unknown","queued","",NA,"","2026-05-29","",""
"GoldenEagleTXNM.pdf","pdfs/extant_to_ingest/toadd/GoldenEagleTXNM.pdf","extant_pdf","pdf","1357","unknown","queued","",NA,"","2026-05-29","",""
"GopherSnakePituophis.pdf","pdfs/extant_to_ingest/toadd/GopherSnakePituophis.pdf","extant_pdf","pdf","3260","unknown","queued","",NA,"","2026-05-29","",""
"GrayFoxBobcatCoyote.pdf","pdfs/extant_to_ingest/toadd/GrayFoxBobcatCoyote.pdf","extant_pdf","pdf","196","unknown","queued","",NA,"","2026-05-29","",""
"GrizzlyMontana.pdf","pdfs/extant_to_ingest/toadd/GrizzlyMontana.pdf","extant_pdf","pdf","1403","unknown","queued","",NA,"","2026-05-29","",""
"GrizzlyMontana2.pdf","pdfs/extant_to_ingest/toadd/GrizzlyMontana2.pdf","extant_pdf","pdf","1114","unknown","queued","",NA,"","2026-05-29","",""
"GrizzlyYellowstone2.pdf","pdfs/extant_to_ingest/toadd/GrizzlyYellowstone2.pdf","extant_pdf","pdf","1078","unknown","queued","",NA,"","2026-05-29","",""
"Hieraaetus.pdf","pdfs/extant_to_ingest/toadd/Hieraaetus.pdf","extant_pdf","pdf","336","unknown","queued","",NA,"","2026-05-29","",""
"High_consumption_of_primates_by_pumas_an.pdf","pdfs/extant_to_ingest/toadd/High_consumption_of_primates_by_pumas_an.pdf","extant_pdf","pdf","997","unknown","queued","",NA,"","2026-05-29","",""
"HJ_v16_n3_a07.pdf","pdfs/extant_to_ingest/toadd/HJ_v16_n3_a07.pdf","extant_pdf","pdf","66","unknown","queued","",NA,"","2026-05-29","",""
"HyaenaLions.pdf","pdfs/extant_to_ingest/toadd/HyaenaLions.pdf","extant_pdf","pdf","149","unknown","queued","",NA,"","2026-05-29","",""
"INTAKE.md","pdfs/INTAKE.md","extant_pdf","md","3","unknown","queued","",NA,"","2026-05-29","",""
"Intraspecific_interspecific_and_seasonal.pdf","pdfs/extant_to_ingest/toadd/Intraspecific_interspecific_and_seasonal.pdf","extant_pdf","pdf","330","unknown","queued","",NA,"","2026-05-29","",""
"j.1469-7998.2009.00565.x.pdf","pdfs/extant_to_ingest/toadd/j.1469-7998.2009.00565.x.pdf","extant_pdf","pdf","235","unknown","queued","",NA,"","2026-05-29","",""
"JaguarPumaMexico.pdf","pdfs/extant_to_ingest/toadd/JaguarPumaMexico.pdf","extant_pdf","pdf","91","unknown","queued","",NA,"","2026-05-29","",""
"jebelowls.pdf","pdfs/extant_to_ingest/toadd/jebelowls.pdf","extant_pdf","pdf","7","pellet","queued","",NA,"","2026-05-29","",""
"jessop-komododragons-inpress-2020.pdf","pdfs/extant_to_ingest/ai_found/jessop-komododragons-inpress-2020.pdf","extant_pdf","pdf","797","unknown","queued","",NA,"","2026-05-29","",""
"Journal of Animal Ecology - 2019 - Glaudas - Foraging mode  relative prey size and diet breadth  A phylogenetically.pdf","pdfs/extant_to_ingest/ai_found/Journal of Animal Ecology - 2019 - Glaudas - Foraging mode  relative prey size and diet breadth  A phylogenetically.pdf","extant_pdf","pdf","885","observation","queued","",NA,"","2026-05-29","",""
"KestrelChina.pdf","pdfs/extant_to_ingest/toadd/KestrelChina.pdf","extant_pdf","pdf","167","unknown","queued","",NA,"","2026-05-29","",""
"Lanius_excubitor.pdf","pdfs/extant_to_ingest/toadd/Lanius_excubitor.pdf","extant_pdf","pdf","407","unknown","queued","",NA,"","2026-05-29","",""
"Lanius_excubitordiet-.pdf","pdfs/extant_to_ingest/toadd/Lanius_excubitordiet-.pdf","extant_pdf","pdf","279","unknown","queued","",NA,"","2026-05-29","",""
"LeastWeaselII.pdf","pdfs/extant_to_ingest/toadd/LeastWeaselII.pdf","extant_pdf","pdf","5430","unknown","queued","",NA,"","2026-05-29","",""
"LeopardTiger.pdf","pdfs/extant_to_ingest/toadd/LeopardTiger.pdf","extant_pdf","pdf","1084","unknown","queued","",NA,"","2026-05-29","",""
"Leopardus.pdf","pdfs/extant_to_ingest/toadd/Leopardus.pdf","extant_pdf","pdf","274","unknown","queued","",NA,"","2026-05-29","",""
"logpredictedmasses.pdf","pdfs/extant_to_ingest/toadd/logpredictedmasses.pdf","extant_pdf","pdf","5","unknown","queued","",NA,"","2026-05-29","",""
"Loso08Varanus.pdf","pdfs/extant_to_ingest/toadd/Loso08Varanus.pdf","extant_pdf","pdf","2006","unknown","queued","",NA,"","2026-05-29","",""
"LynxNewfoundland.pdf","pdfs/extant_to_ingest/toadd/LynxNewfoundland.pdf","extant_pdf","pdf","1094","unknown","queued","",NA,"","2026-05-29","",""
"ManedWolf2001.pdf","pdfs/extant_to_ingest/toadd/ManedWolf2001.pdf","extant_pdf","pdf","80","unknown","queued","",NA,"","2026-05-29","",""
"ManedWolfBrazil.pdf","pdfs/extant_to_ingest/toadd/ManedWolfBrazil.pdf","extant_pdf","pdf","82","unknown","queued","",NA,"","2026-05-29","",""
"ManedWolfBrazil1996.pdf","pdfs/extant_to_ingest/toadd/ManedWolfBrazil1996.pdf","extant_pdf","pdf","531","unknown","queued","",NA,"","2026-05-29","",""
"MartenNewBrunswick.pdf","pdfs/extant_to_ingest/toadd/MartenNewBrunswick.pdf","extant_pdf","pdf","878","unknown","queued","",NA,"","2026-05-29","",""
"MartenOntario.pdf","pdfs/extant_to_ingest/toadd/MartenOntario.pdf","extant_pdf","pdf","924","unknown","queued","",NA,"","2026-05-29","",""
"MartenVancouverIs.pdf","pdfs/extant_to_ingest/toadd/MartenVancouverIs.pdf","extant_pdf","pdf","652","unknown","queued","",NA,"","2026-05-29","",""
"MexicanWolfCoyote.pdf","pdfs/extant_to_ingest/toadd/MexicanWolfCoyote.pdf","extant_pdf","pdf","208","unknown","queued","",NA,"","2026-05-29","",""
"Micrastur_Guatemala_wMass.pdf","pdfs/extant_to_ingest/toadd/Micrastur_Guatemala_wMass.pdf","extant_pdf","pdf","778","unknown","queued","",NA,"","2026-05-29","",""
"MinkManitoba.pdf","pdfs/extant_to_ingest/toadd/MinkManitoba.pdf","extant_pdf","pdf","281","unknown","queued","",NA,"","2026-05-29","",""
"MinkMichigan.pdf","pdfs/extant_to_ingest/toadd/MinkMichigan.pdf","extant_pdf","pdf","1097","unknown","queued","",NA,"","2026-05-29","",""
"MinkMissouri.pdf","pdfs/extant_to_ingest/toadd/MinkMissouri.pdf","extant_pdf","pdf","375","unknown","queued","",NA,"","2026-05-29","",""
"MinkOtterDevon.pdf","pdfs/extant_to_ingest/toadd/MinkOtterDevon.pdf","extant_pdf","pdf","1894","unknown","queued","",NA,"","2026-05-29","",""
"MinkPatagonia.pdf","pdfs/extant_to_ingest/toadd/MinkPatagonia.pdf","extant_pdf","pdf","861","unknown","queued","",NA,"","2026-05-29","",""
"new_113sexualdimorphism.pdf","pdfs/_processed/extant_pdf/new_113sexualdimorphism.pdf","extant_pdf","pdf","928","gut","done","data/extant_new_observations.csv","7","49-55","2026-05-29","2026-05-29","Acrochordus arafurae piscivorous Serpentes; sexual PPMR divergence (F large/M small prey); fish masses->FishBase"
"new_2026.03.28.714998v1.full.pdf","pdfs/_processed/extant_pdf/new_2026.03.28.714998v1.full.pdf","extant_pdf","pdf","322","reference/SOURCE of RaptorDiets","done","data/structured/raptor_diets_long.csv (already ingested via x10)","0","","2026-05-29","2026-05-29","OS-Prey database descriptor (Uiterwaal et al 2026 bioRxiv) = SOURCE pub of new_RaptorDiets.csv/_Metadata.csv already ingested via x10. DO NOT re-ingest. 3538 diet records/173 raptor spp/5206 prey taxa; methods incl stomach/gullet/pellets/remains/obs/DNA."
"new_animals-14-02610.pdf","pdfs/_processed/extant_pdf/new_animals-14-02610.pdf","extant_pdf","pdf","3592","gut","done","data/extant_new_observations.csv","5","56-60","2026-05-29","2026-05-29","Crocodylus moreletii hatchlings; 5th extant croc sp; OCCURRENCE-based (no masses); tiny invert prey + minor fish/birds; prey-spectrum only"
"new_Diet_2008.pdf","pdfs/_processed/extant_pdf/new_Diet_2008.pdf","extant_pdf","pdf","1210","gut","done","data/extant_new_observations.csv","7","61-67","2026-05-29","2026-05-29","Crocodylus niloticus Okavango; 6th extant croc sp; OCCURRENCE-based (no masses); fish-dominated subadults; stomach load 0.1-0.45% body mass; prey-spectrum only"
"new_Diet_analysis_in_piscivorous_birds_What_can_the_ad.pdf","pdfs/_processed/extant_pdf/new_Diet_analysis_in_piscivorous_birds_What_can_the_ad.pdf","extant_pdf","pdf","829","methods/reference","done","data/observation_bias_notes.md","0","","2026-05-29","2026-05-29","Oehm et al 2017 cormorant diet METHODS (pellet/feces/regurgitate; morph vs DNA); no PPMR rows; implications in observation_bias_notes.md (obstype=process; digestion-erosion = extant analog of fossil preservation bias, calibratable; secondary predation; bird diet via pellets)"
"new_HJ07-1_pp1-5 The diet of the four-lined snake (Elaphe quatuorlineata) in Mediterranean central Italy.pdf","pdfs/_processed/extant_pdf/new_HJ07-1_pp1-5 The diet of the four-lined snake (Elaphe quatuorlineata) in Mediterranean central Italy.pdf","extant_pdf","pdf","471","gut+scat","done","data/extant_new_observations.csv","8","16-23","2026-05-29","2026-05-29","Elaphe quatuorlineata; Squamata stomach PPMR (Table2) + 1 faeces lizard row"
"new_HJ07-2_pp67-70 Notes on the food habits of Coluber hippocrepis nigrescens from Pantelleria Island a snake that feeds on both carrion and living prey.pdf","pdfs/_processed/extant_pdf/new_HJ07-2_pp67-70 Notes on the food habits of Coluber hippocrepis nigrescens from Pantelleria Island a snake that feeds on both carrion and living prey.pdf","extant_pdf","pdf","563","gut+scat","done","data/extant_new_observations.csv","4","24-27","2026-05-29","2026-05-29","Hemorrhois hippocrepis Pantelleria; Squamata stomach; prey masses->mass layer; carrion-feeder"
"new_J of Evolutionary Biology - 2016 - Tucker - Revisiting the cost of carnivory in mammals.pdf","pdfs/_processed/extant_pdf/new_J of Evolutionary Biology - 2016 - Tucker - Revisiting the cost of carnivory in mammals.pdf","extant_pdf","pdf","270","reference/compilation","done","data/external_data_wanted.md (supplement to obtain)","0","","2026-05-29","2026-05-29","Tucker et al 2016: compiled predator-prey mass for 107 carnivorous mammals; RAW data in online supplement (not in PDF) -> OBTAIN (external_data_wanted.md). Patterns: terr break ~11kg, large terr ~45% body mass (logPPMR ~-0.8), marine small prey."
"new_KingsnakeFeedingEcologyWiseman_etal_2019.pdf","pdfs/_processed/extant_pdf/new_KingsnakeFeedingEcologyWiseman_etal_2019.pdf","extant_pdf","pdf","4554","gut","done","data/extant_new_observations.csv","7","42-48","2026-05-29","2026-05-29","Lampropeltis californiae kingsnake; Serpentes; ophiophagous; per-type masses from Table2 biomass/freq; aggregate rel prey mass 0.24"
"new_MBI_2016_Bontemps_etal.pdf","pdfs/_processed/extant_pdf/new_MBI_2016_Bontemps_etal.pdf","extant_pdf","pdf","799","gut","done","data/extant_new_observations.csv","6","68-73","2026-05-29","2026-05-29","Caiman crocodilus introduced Puerto Rico; OCCURRENCE-FO only (no masses); insect/fish/gastropod diet; prey-spectrum only"
"new_platt2013.pdf","pdfs/_processed/extant_pdf/new_platt2013.pdf","extant_pdf","pdf","410","gut","done","data/extant_new_observations.csv","9","28-36","2026-05-29","2026-05-29","Crocodylus acutus marine Belize; OCCURRENCE-based (no paired masses); 4th extant croc sp; prey-spectrum only"
"new_rodriguez-robles_2002.pdf","pdfs/_processed/extant_pdf/new_rodriguez-robles_2002.pdf","extant_pdf","pdf","3299","gut","done","data/extant_new_observations.csv","5","37-41","2026-05-29","2026-05-29","Pituophis catenifer gopher snake REVIEW; Serpentes; aggregate rel prey mass 0.21 (logPPMR -1.56); category counts, masses->mass layer"
"new_rspb20142103.pdf","pdfs/_processed/extant_pdf/new_rspb20142103.pdf","extant_pdf","pdf","1299","reference/DUPLICATE-dataset","done","data/structured/tucker2016_mammal_ppmr.csv (SAME 107-spp data; already ingested)","0","","2026-05-29","2026-05-29","Tucker & Rogers 2014 ProcRSocB = SOURCE pub of the 107-spp mammal predator-prey mass dataset already ingested from Tucker 2016 supplement. DO NOT re-ingest (double-count). Finding: marine carnivores +1.3 trophic levels, larger PP ratios than terrestrial."
"new_The_Avian_Diet_Database_as_a_source_of_quantitativ.pdf","pdfs/_processed/extant_pdf/new_The_Avian_Diet_Database_as_a_source_of_quantitativ.pdf","extant_pdf","pdf","811","stomach-dominant(mixed)","structured","data/structured/aviandiet_long.csv","73049","","2026-05-29","2026-05-29","Avian Diet Database INGESTED (aviandietdb R export): 73049 records; ~50k GUT-equivalent (stomach/crop/esophagus/emetic) across many bird spp; gut subset in aviandiet_gut.csv; masses pending AVONET"
"NileCrocodileBotswana.pdf","pdfs/extant_to_ingest/toadd/NileCrocodileBotswana.pdf","extant_pdf","pdf","232","unknown","queued","",NA,"","2026-05-29","",""
"Ninoxnatalis_nopreymasses.pdf","pdfs/extant_to_ingest/toadd/Ninoxnatalis_nopreymasses.pdf","extant_pdf","pdf","102","unknown","queued","",NA,"","2026-05-29","",""
"ninoxnovaeseelandiaePureora.pdf","pdfs/extant_to_ingest/toadd/ninoxnovaeseelandiaePureora.pdf","extant_pdf","pdf","651","unknown","queued","",NA,"","2026-05-29","",""
"NinoxnovahollandaeBodyMass.pdf","pdfs/extant_to_ingest/toadd/NinoxnovahollandaeBodyMass.pdf","extant_pdf","pdf","230","unknown","queued","",NA,"","2026-05-29","",""
"Ninoxrufa_preymassestimates.pdf","pdfs/extant_to_ingest/toadd/Ninoxrufa_preymassestimates.pdf","extant_pdf","pdf","367","unknown","queued","",NA,"","2026-05-29","",""
"Ninoxsquamipila_nopreymassesallinsects.pdf","pdfs/extant_to_ingest/toadd/Ninoxsquamipila_nopreymassesallinsects.pdf","extant_pdf","pdf","222","unknown","queued","",NA,"","2026-05-29","",""
"Ninoxstrenua_Australia_nomasses.pdf","pdfs/extant_to_ingest/toadd/Ninoxstrenua_Australia_nomasses.pdf","extant_pdf","pdf","227","unknown","queued","",NA,"","2026-05-29","",""
"Ocelot_ecology_and_its_effect_on_the_sma.pdf","pdfs/extant_to_ingest/toadd/Ocelot_ecology_and_its_effect_on_the_sma.pdf","extant_pdf","pdf","1101","unknown","queued","",NA,"","2026-05-29","",""
"OcelotandFriends.pdf","pdfs/extant_to_ingest/toadd/OcelotandFriends.pdf","extant_pdf","pdf","330","unknown","queued","",NA,"","2026-05-29","",""
"OsteolamusVaranus_Diets.pdf","pdfs/extant_to_ingest/toadd/OsteolamusVaranus_Diets.pdf","extant_pdf","pdf","236","unknown","queued","",NA,"","2026-05-29","",""
"OtterAlaska.pdf","pdfs/extant_to_ingest/toadd/OtterAlaska.pdf","extant_pdf","pdf","1542","unknown","queued","",NA,"","2026-05-29","",""
"OtterArkansas.pdf","pdfs/extant_to_ingest/toadd/OtterArkansas.pdf","extant_pdf","pdf","1136","unknown","queued","",NA,"","2026-05-29","",""
"OtterCalifornia.pdf","pdfs/extant_to_ingest/toadd/OtterCalifornia.pdf","extant_pdf","pdf","502","unknown","queued","",NA,"","2026-05-29","",""
"OtterOregon.pdf","pdfs/extant_to_ingest/toadd/OtterOregon.pdf","extant_pdf","pdf","705","unknown","queued","",NA,"","2026-05-29","",""
"OtterPteronura.pdf","pdfs/extant_to_ingest/toadd/OtterPteronura.pdf","extant_pdf","pdf","1934","unknown","queued","",NA,"","2026-05-29","",""
"PeregrineGreenland.pdf","pdfs/extant_to_ingest/toadd/PeregrineGreenland.pdf","extant_pdf","pdf","1316","unknown","queued","",NA,"","2026-05-29","",""
